,Model,KL Divergence,KL Divergence Aleatoric,KL Divergence Epistemic,Wasserstein Distance,Wasserstein Distance Aleatoric,Wasserstein Distance Epistemic
0,Variational Inference,13000.085873176273,29509.303836156447,699.978174729225,34.2046181923716,31.449320321026736,3.26311557110917
1,Hamiltonian Monte Carlo,167.04705920703827,227.9613325595214,200.8345288296636,4.037499585254219,3.2175643172852686,1.2807283182545475
2,Deep Ensemble,1.1281459802815403,1.2224948827135496,4.695085783656209,0.5439533805259996,0.4914981962436157,0.2802831073618932
3,MC Dropout,1451.3039267212862,2925.963984958271,864.7004779368543,6.889944726165304,4.702694070955591,2.438824305164038
4,Ensemble,10.653743614633687,7.032078453665002,28.420336186551513,1.0178621322483072,0.6881506068548487,0.5266723353191451
5,Laplace,2.8057164338966594,1.9712874557709512,23.409316420387956,0.9221722191884678,0.7809814636470642,0.40534282481650197
