,Model,KL Divergence,KL Divergence Aleatoric,KL Divergence Epistemic,Wasserstein Distance,Wasserstein Distance Aleatoric,Wasserstein Distance Epistemic
0,Variational Inference,3.9651341655607746e+30,2.839737367162877e+31,8012.868452610113,764864999902024.6,772379893889524.2,34.181241093847646
1,Hamiltonian Monte Carlo,280.2621998602095,911.4397394481377,27.79047700811703,17.34837425051425,17.02034968889558,2.2210831706958207
2,Deep Ensemble,2.2602416169411765,4.908527208345895,1.530670195006025,1.9514764923398138,2.19408871205878,0.559237068552197
3,MC Dropout,43.965518293735116,43.45687518071216,97.74091851787689,9.003846172076038,6.3596384021610834,3.2842939949024617
4,Ensemble,2832021031186.6685,7055091408433.064,122.55584348049254,1612647.0009716244,1613611.6438219817,4.12539224538055
5,Laplace,2.8624906429056622,4.54000007826214,1308.2121584564447,1.1207217304469203e+21,1.1281583747185241e+21,9.018286083472386
