,Model,KL Divergence,KL Divergence Aleatoric,KL Divergence Epistemic,Wasserstein Distance,Wasserstein Distance Aleatoric,Wasserstein Distance Epistemic
0,Variational Inference,257842923.2401252,1010834195.3692017,2878.7896874409457,3366.5750081535257,3359.864197337167,7.428509386841063
1,Hamiltonian Monte Carlo,206.40247009734574,302.2566890571601,270.2249265899285,5.330181791549563,4.408776918215429,1.5567764540394327
2,Deep Ensemble,4.154033128918411,3.535745737954783,11.902960054624158,0.9495745345273041,0.9209065688986379,0.4725669093039947
3,MC Dropout,525.5189344117288,475.13813415613885,1190.9378736217816,6.396630828866784,3.8777218209418813,2.838368975859863
4,Ensemble,1739.4309216910847,7369.384058710995,88.29811602071501,6.831067893575478,6.121588539533768,1.0143621950015689
5,Laplace,2.2034056067618972,2.244643579827075,6.89011219849822,1.0535555537648362,1.00722349908821,0.4955820730514665
