,aleatoric_entropy_in,aleatoric_entropy_out,aleatoric_entropy_all,epistemic_uncertainty_in,epistemic_uncertainty_out,epistemic_uncertainty_all,Model
0,0.6324435472488403,0.6920687556266785,0.6463958621025085,0.0016688264440745115,0.0010347452480345964,0.0015204513911157846,Boots Ensemble
1,0.23569658398628235,0.13855722546577454,0.2129659801721573,0.011231182143092155,0.02314407378435135,0.014018799178302288,MC Dropout
2,0.6342478394508362,0.6931418180465698,0.6480290293693542,3.600322816055268e-05,1.8024037444774876e-06,2.8000235033687204e-05,Deep Ensemble
3,0.6377121806144714,0.6375738382339478,0.6376798152923584,0.007857325486838818,0.007917964830994606,0.007871515117585659,Variational Inference
4,,,,,,,Laplace
5,,,,,,,Hamiltonian
