0,Variational Inference,1.201956,0.805607,30.781801,1.854343,1.588407,1.061781
1,Hamiltonian Monte Carlo,11.990977,14.712811,44.943495,4.657169,4.632175,1.573767
2,Deep Ensemble,0.000000,0.000000,0.000000,0.204712,0.169866,0.033302
3,MC Dropout,11.939155,11.147480,47.432101,7.202407,6.249876,1.599858
4,Ensemble,0.078677,0.086665,14.892960,0.713215,0.653112,0.686910
5,Laplace,0.639179,0.638145,7.304235,1.721415,1.342855,0.594975
