0,Variational Inference,0.044883,0.998248,0.051437,0.725860
1,Hamiltonian Monte Carlo,0.048156,0.892435,0.120347,0.585285
2,Deep Ensemble,0.057834,0.587704,0.092525,0.000000
3,MC Dropout,0.055483,0.578951,0.072386,0.000000
4,Ensemble,0.044530,0.674959,0.132590,0.000000
5,Laplace,0.068575,0.693251,0.143552,0.000000
