0,Variational Inference,0.064249,0.709760,0.171541,0.438207
1,Hamiltonian Monte Carlo,0.056004,0.810327,0.147446,0.150855
2,Deep Ensemble,0.081536,0.378562,0.059127,1.000000
3,MC Dropout,0.068729,0.305926,0.084295,0.000087
4,Ensemble,0.079546,0.446707,0.102597,0.974844
5,Laplace,0.099476,0.652647,0.175720,0.039551
